2017/08/12 21:19:53 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2017/08/12 21:19:53 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2017/08/12 21:19:53 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2017/08/12 21:19:53 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/08/12 21:19:53 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2017/08/12 21:19:53 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/08/12 21:19:53 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/08/12 21:19:53 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2017/08/12 21:19:53 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = XPS1530-PC 
2017/08/12 21:19:53 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/08/12 21:19:54 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-1 
2017/08/12 21:19:54 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2017/08/12 21:19:54 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2017/08/12 21:19:54 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2017/08/12 21:23:30 INFO  - jmeter.services.FileServer: Set new base='C:\Users\XPS 1530\Desktop\Test Tools\apache-jmeter-3.0\apache-jmeter-3.0\bin' 
